source_page	download_url	creator	license	license_url	source_page_sha256	used_by
https://freesound.org/people/Gniffelbaf/sounds/76377	https://cdn.freesound.org/previews/76/76377_303507-hq.mp3	Gniffelbaf	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	58404f6e997a7fe1b9ed059c0d3165e86f9b47215d4738723ca59049b901c95e	conv4/amsterdam_night
https://freesound.org/people/Greensand_Sound_Archive/sounds/569058	https://cdn.freesound.org/previews/569/569058_12765754-hq.mp3	Greensand_Sound_Archive	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	b2ce78b97bedd5f825d8b910192a6ec133ec1bb74f6c2afcdc9ecc3b3b5a5e25	conv5/park_walk
https://freesound.org/people/ID_23/sounds/680647	https://cdn.freesound.org/previews/680/680647_2582565-hq.mp3	ID_23	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	812ac2446d5ed044acde79e62d5bb68b9f06f928cee51f5caa731a19400324d4	conv6/substation_hum;conv9/substation_hum
https://freesound.org/people/INNORECORDS/sounds/457447	https://cdn.freesound.org/previews/457/457447_9518146-hq.mp3	INNORECORDS	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	7954cef375e6defd7143960a987e395fff8061b18543ceb912d01fd7be9f925c	conv5/party_tent_rain
https://freesound.org/people/IanStarGem/sounds/272265	https://cdn.freesound.org/previews/272/272265_4965320-hq.mp3	IanStarGem	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	fa48e9d824d78fdedcccb5c227d0bd331f5cfa3c44e7dccc8389936982da2bd8	conv5/factory_fan
https://freesound.org/people/InspectorJ/sounds/485621	https://cdn.freesound.org/previews/485/485621_5121236-hq.mp3	InspectorJ	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	17cbbf6ef506e4fad29a293440c4b549143b59562e132b700b1bbf709c3ffb59	conv10-list/conv8/climate_strike_long;conv7/climate_strike_long;conv8/climate_strike_long
https://freesound.org/people/Ionizing/sounds/19283	https://cdn.freesound.org/previews/19/19283_59536-hq.mp3	Ionizing	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	de782f12d4ec0ed58398779a71c8a6b47faeca08aaa2f365e0914cf701ab2fbb	conv4/may_thunderstorm
https://freesound.org/people/JavierSerrat/sounds/464187	https://cdn.freesound.org/previews/464/464187_3518208-hq.mp3	JavierSerrat	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	5e4b2ca5f54e5c0f578215fda2dc41a533d8e78b54294c50543511a5f9b4e8f8	conv10-list/conv8/underwater_bubbles_short;conv7/underwater_bubbles_short;conv8/underwater_bubbles_short
https://freesound.org/people/Jess_Weddle_6121/sounds/695936	https://cdn.freesound.org/previews/695/695936_15107438-hq.mp3	Jess_Weddle_6121	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	0c57a5e0bca7e362744d12f7fdb85c3843967c3d6438df21b6503301d6707704	conv4/florence_city_walk
https://freesound.org/people/Johnnie_Holiday/sounds/568142	https://cdn.freesound.org/previews/568/568142_4819210-hq.mp3	Johnnie_Holiday	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	79ddf8351f2dabc66d477eb58cb268be251f3c94d3120e6938b1b1701249e6d2	conv10-list/conv10/handpan_strikes;conv10/handpan_strikes
https://freesound.org/people/JollityFarm/sounds/218169	https://cdn.freesound.org/previews/218/218169_745129-hq.mp3	JollityFarm	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	3e52c0a87101e65b53f0714b7e5c03bb49d5dc6ef98aef6c639ef9f417ead13b	conv4/chennai_traffic;conv9/chennai_traffic
https://freesound.org/people/Kinoton/sounds/393560	https://cdn.freesound.org/previews/393/393560_2247456-hq.mp3	Kinoton	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	af7fedfdca260d52045f0ac0cc8c1a7b11dd8685bd180354a635ffa19f44bff2	conv4/heavy_rain_b
https://freesound.org/people/Kinoton/sounds/495269	https://cdn.freesound.org/previews/495/495269_2247456-hq.mp3	Kinoton	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	f2d56b008f9c2274425b997b00169cf9b8e1911f51ba605721c0312633c28560	conv10-list/conv10/building_demolition;conv10/building_demolition;conv9/building_demolition
https://freesound.org/people/Kostrava/sounds/434507	https://cdn.freesound.org/previews/434/434507_1134415-hq.mp3	Kostrava	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	a6c7c1f4c46e73abe22ab4ed68768574bac7a5be80ea91bbe126254ca063930a	conv5/industrial_machine_tone;conv9/industrial_machine_tone
https://freesound.org/people/Lewente/sounds/393398	https://cdn.freesound.org/previews/393/393398_5416641-hq.mp3	Lewente	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	1a25b89da163e596ddb2e96439600cea8f08b672191f360f2fc12b02298a807b	conv5/industrial_ambience
https://freesound.org/people/LloydEvans09/sounds/185816	https://cdn.freesound.org/previews/185/185816_2567799-hq.mp3	LloydEvans09	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	fd0e232a8124452fd009ca2a677d468c85981ea4001c901a77d554f9bb6584fc	conv6/creaky_dock_hydrophone;conv9/creaky_dock_hydrophone
