id	palette	topic	role	seconds	trim_start	title	creator	source_page	download_url	license	license_url	source_page_sha256	media_sha256	advertised_duration_seconds	decoded_duration_seconds	used_by
drift_rainforest_s	drift	rainforest	short	12	5	Bako National Park, Borneo Island, Rain Forest Ambience near a water stream daytime 01.10.2013 Roland R-26 XY Mics	gladkiy	https://freesound.org/people/gladkiy/sounds/333222	https://cdn.freesound.org/previews/333/333222_2364707-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	0c8a294a4f541b89b33f817ee9d35d68856702012e0c8fc0a2ba7a1325841247	c7d8565b8bc57b0193fad822671f52884825cd3277fa46608c9d005635ef3e75	208.000000	208.000000	drift
drift_snow_forest_l	drift	snow_forest	long	30	10	Winter Fantasy Witch Dark Forest River Coyote Rain Snow Wind Birds Dogs Nature Atmosphere Ambient Surround.wav	szegvari	https://freesound.org/people/szegvari/sounds/609035	https://cdn.freesound.org/previews/609/609035_2282212-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	769970733d80d5f94beb2ec7493479ba787bcacde9b24d3d2229779473475261	a453c068de0782e80fcc8d791ff7bb21aca7474262d1584ca132a11b6018236a	154.304000	154.304021	drift;tideforge
drift_snow_forest_s	drift	snow_forest	short	12	5	kopa_karpacz.wav	monosfera	https://freesound.org/people/monosfera/sounds/569088	https://cdn.freesound.org/previews/569/569088_3625175-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	f78b58e86161b33ba5f4f49d6d9fe666fd7600274cdd26c852ae386e7dde4418	5e654f6d232900d602336e9bb7eabd88798e362af9fe6d0fbf499844d1c77ba3	54.252000	54.252000	drift;tideforge
drift_countryside_dawn_l	drift	countryside_dawn	long	30	10	Dawn chorus - Hampshire countryside Springtime	richwise	https://freesound.org/people/richwise/sounds/466242	https://cdn.freesound.org/previews/466/466242_1481531-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	b7fb55aceeb9680b82a399fb67edbeac318e9ffe238ea1d249e701842f7cb658	831632552c67bd6b4b770900b7e4d572bb3ef5f4b9ef5d47986092549348b859	592.778000	592.778000	drift
drift_countryside_dawn_s	drift	countryside_dawn	short	12	5	Countryside	brunoboselli	https://freesound.org/people/brunoboselli/sounds/458113	https://cdn.freesound.org/previews/458/458113_300738-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	25c40af538f5975cf5dc85708e9774f93f3d7765bea426b2503ff8d5cc61ab47	5680146c0a98fbee52f0bb286e9ac0d69ab922c356f562cdad797e08dad5c49f	58.000000	58.000021	drift
drift_countryside_night_l	drift	countryside_night	long	30	10	Sound - quiet sunny summer evening in the country.m4a	Urkki69	https://freesound.org/people/Urkki69/sounds/581430	https://cdn.freesound.org/previews/581/581430_12244617-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	26f12798a3c3ef77ba642b34a713ca85c6b18578e10c865a9a8cc1226dbd304e	aa68daa69f45b9fdc0b85177cb9a8e335f53ef4eb4d3add5dc3f478eb385e876	422.528000	422.528005	drift;tideforge
drift_countryside_night_s	drift	countryside_night	short	12	5	crickets.wav	zerrofs	https://freesound.org/people/zerrofs/sounds/118419	https://cdn.freesound.org/previews/118/118419_540291-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	dcb176411a8bca8b0dafdcebaac72b499b85fe20593795bc8fdf5976cf85084f	7629328b419d7aa183789e67e113cddd8ae1062e8571e8015ffaa91948a3581a	33.680000	33.680794	drift;tideforge
drift_garden_l	drift	garden	long	30	3.444	Quiet back garden ambience.wav	lolamadeus	https://freesound.org/people/lolamadeus/sounds/157921	https://cdn.freesound.org/previews/157/157921_544580-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	528787dc2f46bbf233799a14465ca2e5ccc5490a2433ac0bcdcf06ca4c0f8f5d	0716d574caf3e93043fbab5a6510601c185f692888c5b6a8838c677b77ea7f45	40.333000	40.333061	drift
drift_garden_s	drift	garden	short	12	5	More from my garden during lockdown	richwise	https://freesound.org/people/richwise/sounds/516548	https://cdn.freesound.org/previews/516/516548_1481531-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	938b6e9f67cdc9e4ad5cec49d5d4326d97ee321a46af608a1b8ecd008fc4e874	3eab746bd6c6ae45bdf8421252328e38738a7f1c728fe1a7f2d8b40e3297026d	1033.329000	17.100000	drift
menagerie_songbirds_l	menagerie	songbirds	long	30	10	Songbirds and Crows 2	silentseason	https://freesound.org/people/silentseason/sounds/336667	https://cdn.freesound.org/previews/336/336667_1575560-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	938f425fb621fae505c57fad5f37d4b5990a16a6d667db693757215ab83c62a1	4dec949b2bf32b4dbadb6d8a4ae0b81623403a5a927999cb896841f4da470039	67.477000	67.477188	menagerie;wildwire
